Original,Detected language,Detected language score,Translation,PostID
"Making Microsoft Teams work for you is easier than ever!
Meet The Company Communicator  a custom Teams app designed to reach your employees right where they collaborate. It allows you to automatically send announcements to specific divisions and track message engagement while boosting the readership of key messages.
See how you can integrate partner or custom apps with Teams ➡ http://msft.it/6189pN9Id",en,1.0,"Making Microsoft Teams work for you is easier than ever!
Meet The Company Communicator  a custom Teams app designed to reach your employees right where they collaborate. It allows you to automatically send announcements to specific divisions and track message engagement while boosting the readership of key messages.
See how you can integrate partner or custom apps with Teams ➡ http://msft.it/6189pN9Id",5020258048048617
"Introducing Microsoft Viva.
The new employee experience platform built to help organizations empower people and teams to be their best 👉 http://msft.it/6183p23mP

#MSFTViva #EmployeeExperience",en,1.0,"Introducing Microsoft Viva.
The new employee experience platform built to help organizations empower people and teams to be their best 👉 http://msft.it/6183p23mP

#MSFTViva #EmployeeExperience",5011618372245918
"Today  teamwork and collaboration are imperative to build resilience for your organisation.
Learn more on how to empower your employees to be productive and secure  while embracing remote working  by downloading our free guide:",en,1.0,"Today  teamwork and collaboration are imperative to build resilience for your organisation.
Learn more on how to empower your employees to be productive and secure  while embracing remote working  by downloading our free guide:",5008211855919903
"Join us for episode 2 of Envision on February 16.
Explore new business perspectives in the era of digital disruption and learn about the key elements influencing health  global warming  employment  technology and global economy:",en,1.0,"Join us for episode 2 of Envision on February 16.
Explore new business perspectives in the era of digital disruption and learn about the key elements influencing health  global warming  employment  technology and global economy:",4978781338862955
"The best way to gain knowledge is by solving actual problems.
We wanted to deliver an interactive learning experience  so we teamed up with LeBron James and the Space Jam squad.
Learn more about Microsoft’s partnership with Warner Bros. here:",en,1.0,"The best way to gain knowledge is by solving actual problems.
We wanted to deliver an interactive learning experience  so we teamed up with LeBron James and the Space Jam squad.
Learn more about Microsoft’s partnership with Warner Bros. here:",4953561944718228
"One of the most important skills for any manager is being able to adjust their leadership style according to the team dynamics. Protecting the work/life balance for your staff can bring better results for the company.
Learn more here:",en,1.0,"One of the most important skills for any manager is being able to adjust their leadership style according to the team dynamics. Protecting the work/life balance for your staff can bring better results for the company.
Learn more here:",4949645788443177
In a world that is constantly changing  it has become imperative that we protect the integrity of our institutions. Read more about Microsoft’s initiatives in the age of digital  in an article by Kostas Loukas  General Manager Public Sector  Microsoft CEE ➡ http://msft.it/6183psW09,en,1.0,In a world that is constantly changing  it has become imperative that we protect the integrity of our institutions. Read more about Microsoft’s initiatives in the age of digital  in an article by Kostas Loukas  General Manager Public Sector  Microsoft CEE ➡ http://msft.it/6183psW09,4945199102221179
"When you think about global supply chains  what do you see?
Explore a new vision for retail and the lessons that Europe's retailers can learn from the past in order to thrive in the future – an article by Hans-Juergen Rose  General Manager Enterprise Commercial  Microsoft CEE:",en,1.0,"When you think about global supply chains  what do you see?
Explore a new vision for retail and the lessons that Europe's retailers can learn from the past in order to thrive in the future – an article by Hans-Juergen Rose  General Manager Enterprise Commercial  Microsoft CEE:",4923088934432196
"Introducing the new Surface Pro 7+.
Stay connected with optional LTE Advanced and do it your way with our ultra-light 2-in-1.
#SurfaceForBusiness",en,1.0,"Introducing the new Surface Pro 7+.
Stay connected with optional LTE Advanced and do it your way with our ultra-light 2-in-1.
#SurfaceForBusiness",4919254898148933
"Toyota Ukraine supports more than 35 car dealerships countrywide. To help them provide high-quality service to customers  it centralized all information and databases on an online portal based on Microsoft Dynamics 365 and automated more than 15 groups of business processes using the Power Platform. “It used to take us two or three days to prepare and send a report  now they’re available with a click of a button  so people can focus on analyzing the data presented instead ” says Olena Gontar  IT Manager at Toyota Ukraine.
Read more:",en,1.0,"Toyota Ukraine supports more than 35 car dealerships countrywide. To help them provide high-quality service to customers  it centralized all information and databases on an online portal based on Microsoft Dynamics 365 and automated more than 15 groups of business processes using the Power Platform. “It used to take us two or three days to prepare and send a report  now they’re available with a click of a button  so people can focus on analyzing the data presented instead ” says Olena Gontar  IT Manager at Toyota Ukraine.
Read more:",4914080991999657
"In 2019  we conducted the IoT Signals research with over 3000 Business Decision Makers who implemented this technology for their companies. We aimed at learning more about how this technology changes the way we live and work so IoT Signals Edition 2 is here with even more interesting insights.

Explore the latest findings on how IoT is increasing efficiency for companies:",en,1.0,"In 2019  we conducted the IoT Signals research with over 3000 Business Decision Makers who implemented this technology for their companies. We aimed at learning more about how this technology changes the way we live and work so IoT Signals Edition 2 is here with even more interesting insights.

Explore the latest findings on how IoT is increasing efficiency for companies:",4896620923745664
During the past few months  supply-chain leaders have faced more complex and changing conditions than ever. Here’s how companies can manage the crisis and build resilience against future changes  while transforming supply chain operations in a remarkably short time:,en,1.0,During the past few months  supply-chain leaders have faced more complex and changing conditions than ever. Here’s how companies can manage the crisis and build resilience against future changes  while transforming supply chain operations in a remarkably short time:,4886536798087410
"What’s new in Teams?
A lot of great features that will make you and your team more productive in an engaging way.
Now you have Together mode scene selection  Polls in meetings  AI background noise suppression and many more cool features that will help you get the most out of your work.

Explore and try them out ➡ http://msft.it/6189pgvSL",en,1.0,"What’s new in Teams?
A lot of great features that will make you and your team more productive in an engaging way.
Now you have Together mode scene selection  Polls in meetings  AI background noise suppression and many more cool features that will help you get the most out of your work.

Explore and try them out ➡ http://msft.it/6189pgvSL",4859641187443638
"As many organisations continue to work remotely  business executives are facing with a couple of challenges about the good health of their employees.
Learn how you can build a great environment for your employees  while maintaining their well-being and increasing productivity and inclusiveness at the same time.",en,1.0,"As many organisations continue to work remotely  business executives are facing with a couple of challenges about the good health of their employees.
Learn how you can build a great environment for your employees  while maintaining their well-being and increasing productivity and inclusiveness at the same time.",4781256208615470
The world as we know  changed. We now mostly work remote  and out workplaces are now hybrid environments. But how does this affect the balance between our personal and professional lives? Read more about the “corporate athlete” model – a model about personal resilience in an article by Michelle Simmons  Chief Marketing and Operations Officer  Microsoft CEE. ➡ http://msft.it/6187pnO8F,en,1.0,The world as we know  changed. We now mostly work remote  and out workplaces are now hybrid environments. But how does this affect the balance between our personal and professional lives? Read more about the “corporate athlete” model – a model about personal resilience in an article by Michelle Simmons  Chief Marketing and Operations Officer  Microsoft CEE. ➡ http://msft.it/6187pnO8F,4781237695283988
"This year has brought a lot of changes and new feelings.
But we’ve also discovered that when we are together we are stronger  so this Holiday season let’s celebrate our resilience.
Happy Holidays!",en,1.0,"This year has brought a lot of changes and new feelings.
But we’ve also discovered that when we are together we are stronger  so this Holiday season let’s celebrate our resilience.
Happy Holidays!",4781173238623767
"In the past few months  remote working  as well as the hybrid workplace have become the new normal.
Explore more on how we can stay secure in this new world while keeping our businesses and employees productive in an article from Joacim Damgard  Chief Operations Officer  Microsoft CEE.",en,0.98,"In the past few months  remote working  as well as the hybrid workplace have become the new normal.
Explore more on how we can stay secure in this new world while keeping our businesses and employees productive in an article from Joacim Damgard  Chief Operations Officer  Microsoft CEE.",4780907551983669
"During these times of change  a faster adoption of digital capabilities has become imperative for any organisation that wants to remain prosperous.
Discover how our customers have rapidly embraced the power of cloud technologies and how their cloud business strategies are driving transformation across industries:",en,1.0,"During these times of change  a faster adoption of digital capabilities has become imperative for any organisation that wants to remain prosperous.
Discover how our customers have rapidly embraced the power of cloud technologies and how their cloud business strategies are driving transformation across industries:",4777906625617095
"Many organizations are finding themselves having trouble keeping up with changing technologies  changing environments  and most importantly  changing customer demands.

Explore our “Guide to building resilience” to learn how you can set up agile business processes so you can strengthen your resiliency:",en,1.0,"Many organizations are finding themselves having trouble keeping up with changing technologies  changing environments  and most importantly  changing customer demands.

Explore our “Guide to building resilience” to learn how you can set up agile business processes so you can strengthen your resiliency:",4774546299286461
A new AI model helps users get access to the content of any image  by generating photo descriptions more accurately than people. The breakthrough is a milestone in our efforts to make products and services inclusive and accessible to all users.,en,1.0,A new AI model helps users get access to the content of any image  by generating photo descriptions more accurately than people. The breakthrough is a milestone in our efforts to make products and services inclusive and accessible to all users.,4773863819354709
One of Greece’s largest food companies  Loulis Mills sought to offer better value to the 13 countries it supplies flour products to. To improve services  standardize processes  and connect employees across divisions and locations  Loulis Mills worked together with Microsoft partner TEKA Systems to move to SAP S/4HANA on Azure. “To have a scalable and cost-efficient platform  having the system on the cloud rather than on premises was a must. … We chose Microsoft Azure because it is a highly secure and a specialized and tested solution for SAP in the cloud ” shares Dimitris Tarnaras  CEO at Loulis Mills BG.,en,1.0,One of Greece’s largest food companies  Loulis Mills sought to offer better value to the 13 countries it supplies flour products to. To improve services  standardize processes  and connect employees across divisions and locations  Loulis Mills worked together with Microsoft partner TEKA Systems to move to SAP S/4HANA on Azure. “To have a scalable and cost-efficient platform  having the system on the cloud rather than on premises was a must. … We chose Microsoft Azure because it is a highly secure and a specialized and tested solution for SAP in the cloud ” shares Dimitris Tarnaras  CEO at Loulis Mills BG.,4769222466485511
"During a time of global change and uncertainty  it’s vital to approach sales within a larger context.
Learn how to put your customers’ needs first with collaborative sales techniques  by watching our webinar:",en,1.0,"During a time of global change and uncertainty  it’s vital to approach sales within a larger context.
Learn how to put your customers’ needs first with collaborative sales techniques  by watching our webinar:",4756516717756086
"Ensuring resilience and optimization of processes are top priorities for companies  but what if you could leverage the challenges of today to redefine tomorrow using AI?
See how you can transform your organization’s potential  by putting AI in action:",en,1.0,"Ensuring resilience and optimization of processes are top priorities for companies  but what if you could leverage the challenges of today to redefine tomorrow using AI?
See how you can transform your organization’s potential  by putting AI in action:",4752383058169452
"To help our customers navigate these uncertain times and best support their employees  we’ve engaged with thousands of workers and leader across Europe  asking about their experiences with remote working.

Learn more about our research and the European expectations for the future of work:",en,1.0,"To help our customers navigate these uncertain times and best support their employees  we’ve engaged with thousands of workers and leader across Europe  asking about their experiences with remote working.

Learn more about our research and the European expectations for the future of work:",4748558278551930
"Your AI initiatives should start with an understanding of holistic AI strategy.
Learn more about the frameworks that industry leaders follow when creating a strategy for their AI vision.",en,1.0,"Your AI initiatives should start with an understanding of holistic AI strategy.
Learn more about the frameworks that industry leaders follow when creating a strategy for their AI vision.",4723265441081214
"Cloud solutions have changed the way we think about data and storage.
But as the world evolved  what is the next step in cloud computing?
Explore Microsoft Optics for the Cloud  a new research program that tackles holographic storage:",en,1.0,"Cloud solutions have changed the way we think about data and storage.
But as the world evolved  what is the next step in cloud computing?
Explore Microsoft Optics for the Cloud  a new research program that tackles holographic storage:",4692762594131499
"Join us for an amazing line-up of tech heroes who have helped create  build and influence the technology we use today.
Explore our “Behind the Tech” podcast with Kevin Scott:.",en,1.0,"Join us for an amazing line-up of tech heroes who have helped create  build and influence the technology we use today.
Explore our “Behind the Tech” podcast with Kevin Scott:.",4691925354215223
"Romania’s Technical University of Cluj-Napoca (TUCN) is incorporating digital technology and virtual communication into learning  using Office 365 to enrich education and reduce academic workloads.
Learn how the university reimagines learning with Microsoft (EN):",en,1.0,"Romania’s Technical University of Cluj-Napoca (TUCN) is incorporating digital technology and virtual communication into learning  using Office 365 to enrich education and reduce academic workloads.
Learn how the university reimagines learning with Microsoft (EN):",4688330381241387
As the world still goes through changes  it is important  now more than ever  to find new ways of balancing productivity and personal wellbeing. Learn more about the new features that we developed for Teams and Outlook  and how these aim at improving work- and home-life transitions.,en,1.0,As the world still goes through changes  it is important  now more than ever  to find new ways of balancing productivity and personal wellbeing. Learn more about the new features that we developed for Teams and Outlook  and how these aim at improving work- and home-life transitions.,4683965038344588
"What if we could predict epidemics like we predict weather?
Through a network of robotic sensing platforms  Microsoft Premonitions aims to continuously monitor our environment to detect potential pathogens before they cause outbreaks.",en,1.0,"What if we could predict epidemics like we predict weather?
Through a network of robotic sensing platforms  Microsoft Premonitions aims to continuously monitor our environment to detect potential pathogens before they cause outbreaks.",4679923005415458
"AI can transform your organization in fundamental ways.
Learn how to set up principles and best practices that help you implement responsible AI and how you can generate positive outcomes for your business.",en,1.0,"AI can transform your organization in fundamental ways.
Learn how to set up principles and best practices that help you implement responsible AI and how you can generate positive outcomes for your business.",4661238497283909
"Get the latest news on cybersecurity and expert advice on threat intelligence issues.
Download Microsoft's new Digital Defense Report for fresh insights.
Start with security.",en,1.0,"Get the latest news on cybersecurity and expert advice on threat intelligence issues.
Download Microsoft's new Digital Defense Report for fresh insights.
Start with security.",4656617557746003
"Sii Poland needed the right tools to increase its operational agility and serve its customers faster.
To enhance team collaboration  the company introduced a range of Office 365 solutions that completely reinvented the way of working for its team of more than 4 600 people.

Learn how Sii Poland transformed internal and external communication with Microsoft Teams.",en,1.0,"Sii Poland needed the right tools to increase its operational agility and serve its customers faster.
To enhance team collaboration  the company introduced a range of Office 365 solutions that completely reinvented the way of working for its team of more than 4 600 people.

Learn how Sii Poland transformed internal and external communication with Microsoft Teams.",4630376800370079
We’ve asked Deborah Weinswig  CEO and founder of Coresight Reasearch  to give us some insights on the retail’s reaction to the current global context and to share some of the top learnings for retail banking.,en,1.0,We’ve asked Deborah Weinswig  CEO and founder of Coresight Reasearch  to give us some insights on the retail’s reaction to the current global context and to share some of the top learnings for retail banking.,4626300770777682
AI will support the European Parliament in overcoming language barriers and making the political process accessible to all. See how technology is used to augment the capabilities of translators  making sure that every European can participate in the political process in real-time:,en,1.0,AI will support the European Parliament in overcoming language barriers and making the political process accessible to all. See how technology is used to augment the capabilities of translators  making sure that every European can participate in the political process in real-time:,4625535504187542
"Across industries  new disruptive models are rising with AI at their core.
Learn more about the frameworks your organization needs in order to become AI-ready.",en,1.0,"Across industries  new disruptive models are rising with AI at their core.
Learn more about the frameworks your organization needs in order to become AI-ready.",4604521809622245
"Brad Smith  Microsoft President  announced an ambitious commitment for Microsoft to replenish more water than it consumes for its direct operations by 2030.
Read more to find out how Microsoft intends to reduce water use and replenish it in the water-stressed regions where it operates:",en,1.0,"Brad Smith  Microsoft President  announced an ambitious commitment for Microsoft to replenish more water than it consumes for its direct operations by 2030.
Read more to find out how Microsoft intends to reduce water use and replenish it in the water-stressed regions where it operates:",4568809053193521
"Underwater datacenters are no longer a theoretical concept. Microsoft’s Project Natick successfully proved that they are feasible  reliable  and use energy sustainably.
Read more to find out why smaller underwater datacenters are preferable for cloud and edge computing:",en,1.0,"Underwater datacenters are no longer a theoretical concept. Microsoft’s Project Natick successfully proved that they are feasible  reliable  and use energy sustainably.
Read more to find out why smaller underwater datacenters are preferable for cloud and edge computing:",4564842056923554
"Think big picture with AI Business School and start unlocking the potential of your people and apps through our practical sessions and tools.
Be a leader of the AI Era!
Learn more:",en,1.0,"Think big picture with AI Business School and start unlocking the potential of your people and apps through our practical sessions and tools.
Be a leader of the AI Era!
Learn more:",4560892410651852
"PeopleCert supports customers in certifying their talents from any part of the world and around the clock using Azure  Microsoft 365  and Dynamics 365.
Read the full story:",en,1.0,"PeopleCert supports customers in certifying their talents from any part of the world and around the clock using Azure  Microsoft 365  and Dynamics 365.
Read the full story:",4556322947775465
"Help everyone to collaborate  anytime  anywhere  with a transformative solution for teamwork.
Read our tips for highly efficient remote teams.",en,1.0,"Help everyone to collaborate  anytime  anywhere  with a transformative solution for teamwork.
Read our tips for highly efficient remote teams.",4534878383253255
"Lithuanian company Energus  has streamlined project execution and enabled fast decision-making using Microsoft Power Platform solutions.
Read the full story:",en,1.0,"Lithuanian company Energus  has streamlined project execution and enabled fast decision-making using Microsoft Power Platform solutions.
Read the full story:",4531169173624176
Organisations that can navigate and succeed in times of change have one thing in common – they are resilient. Discover how Microsoft solutions can help you strengthen resilience in people  teams and your broader organisation.,en,1.0,Organisations that can navigate and succeed in times of change have one thing in common – they are resilient. Discover how Microsoft solutions can help you strengthen resilience in people  teams and your broader organisation.,4505613009513126
"From data-fueled customer insights to an optimized your supply chain  possibilities get endless with intelligent retail solutions. Reimagine retail.
Learn more:",en,1.0,"From data-fueled customer insights to an optimized your supply chain  possibilities get endless with intelligent retail solutions. Reimagine retail.
Learn more:",4475817142492713
"We are announcing today GR for GRowth initiative  a significant technology commitment to support the people  public sector and businesses of all sizes in Greece with technology and resources to create new opportunities for growth. Central to the initiative is Microsoft's plan to establish its first datacenter region in the country  adding Greece to the world's largest cloud infrastructure. Our commitment goes beyond technology: to support citizens in both professional and personal ambitions  we are also kicking off our plan to skill a minimum of 100 000 Greeks in digital technologies by 2025. Today’s announcement marks a new chapter in our 28–years long journey in Greece: with technology as a catalyst for growth  we are providing people and businesses the tools and expertise to thrive and innovate in the digital era.
Today  Greece stands for Growth.

#GRforGRowth",en,1.0,"We are announcing today GR for GRowth initiative  a significant technology commitment to support the people  public sector and businesses of all sizes in Greece with technology and resources to create new opportunities for growth. Central to the initiative is Microsoft's plan to establish its first datacenter region in the country  adding Greece to the world's largest cloud infrastructure. Our commitment goes beyond technology: to support citizens in both professional and personal ambitions  we are also kicking off our plan to skill a minimum of 100 000 Greeks in digital technologies by 2025. Today’s announcement marks a new chapter in our 28–years long journey in Greece: with technology as a catalyst for growth  we are providing people and businesses the tools and expertise to thrive and innovate in the digital era.
Today  Greece stands for Growth.

#GRforGRowth",4459958787411882
See how governments in Central and Eastern Europe have accelerated digital transformation and how they can build more resilient and competitive economies. Read the article by Kostas Loukas - General Manager  Public Sector  Microsoft CEE.,en,1.0,See how governments in Central and Eastern Europe have accelerated digital transformation and how they can build more resilient and competitive economies. Read the article by Kostas Loukas - General Manager  Public Sector  Microsoft CEE.,4430353317039096
"One day  one Microsoft. Thousands of Microsoft employees share a bit of themselves.
Who are they? What are their dreams and challenges?
Watch the short film created from the images they captured and discover how the things that unite them actually connect us all:",en,1.0,"One day  one Microsoft. Thousands of Microsoft employees share a bit of themselves.
Who are they? What are their dreams and challenges?
Watch the short film created from the images they captured and discover how the things that unite them actually connect us all:",4409620705779024
"What’s your teams' score in the digital transformation maturity test?
Whether they are Digital Citizens  Collaborators  Creators or Innovators  you will find they all need to learn new skills  suited to the digital era. Read more to see how you can reach technical proficiency:",en,1.0,"What’s your teams' score in the digital transformation maturity test?
Whether they are Digital Citizens  Collaborators  Creators or Innovators  you will find they all need to learn new skills  suited to the digital era. Read more to see how you can reach technical proficiency:",4404742402933521
"By 2050  the amount of plastic in the ocean could outweigh the fish in it if action isn’t taken sooner.
Discover how collaboration between Microsoft & The Ocean Cleanup resulted in hi-tech solutions that will clean the oceans from waste.",en,1.0,"By 2050  the amount of plastic in the ocean could outweigh the fish in it if action isn’t taken sooner.
Discover how collaboration between Microsoft & The Ocean Cleanup resulted in hi-tech solutions that will clean the oceans from waste.",4395168133890948
"Want to make a difference for students at your school? 🤔 You can become a Flipgrid Student Voice Ambassador! 💚 Discover the steps you need to take before the application reopens in December: http://msft.it/6188njf6G

#FlipgridForAll #Education #School",en,1.0,"Want to make a difference for students at your school? 🤔 You can become a Flipgrid Student Voice Ambassador! 💚 Discover the steps you need to take before the application reopens in December: http://msft.it/6188njf6G

#FlipgridForAll #Education #School",4113184912069913
"It's time for another Break Time Bite! ☕ Sometimes  in order to keep class discussion flowing  you need to mute someone on Microsoft Teams. Here's how. 👇

#Education #School #Learning",en,1.0,"It's time for another Break Time Bite! ☕ Sometimes  in order to keep class discussion flowing  you need to mute someone on Microsoft Teams. Here's how. 👇

#Education #School #Learning",4109535665768171
"Happy Wakelet Wednesday! 🌊 Want to get the latest tips and tutorials for Microsoft and partner education apps? This collection has got you covered. Take a look: https://wakelet.com/wake/7dfCxuhKy5lSYSrMonh94

#Education #School #Learning",en,1.0,"Happy Wakelet Wednesday! 🌊 Want to get the latest tips and tutorials for Microsoft and partner education apps? This collection has got you covered. Take a look: https://wakelet.com/wake/7dfCxuhKy5lSYSrMonh94

#Education #School #Learning",4106391562749248
"Want to gauge the feelings of your students when they head back to school in September? 🤔

You can use the Reflect app in Microsoft Teams to launch a quick poll and do exactly that! See how: http://msft.it/6182njJwp

#Education #Learning #SEL",en,1.0,"Want to gauge the feelings of your students when they head back to school in September? 🤔

You can use the Reflect app in Microsoft Teams to launch a quick poll and do exactly that! See how: http://msft.it/6182njJwp

#Education #Learning #SEL",4101493366572401
"Want to get some fresh Flipgrid ideas? 💚 Head here to get some inspiration and keep the page bookmarked to gain a steady stream of new ways to use Flipgrid! http://msft.it/6189njDwB

#FlipgridForAll #Education #Learning",en,1.0,"Want to get some fresh Flipgrid ideas? 💚 Head here to get some inspiration and keep the page bookmarked to gain a steady stream of new ways to use Flipgrid! http://msft.it/6189njDwB

#FlipgridForAll #Education #Learning",4093171407404597
"80% of dyslexic students leave school unidentified. That's why Microsoft and Made By Dyslexia partnered to help teachers spot  support and empower every learner with dyslexia.

Head here to explore our Dyslexia Training learning path: http://msft.it/6185njDrS

#Dyslexia #Accessibility #Education",en,1.0,"80% of dyslexic students leave school unidentified. That's why Microsoft and Made By Dyslexia partnered to help teachers spot  support and empower every learner with dyslexia.

Head here to explore our Dyslexia Training learning path: http://msft.it/6185njDrS

#Dyslexia #Accessibility #Education",4090110184377386
"Happy Wakelet Wednesday! 💙 Whether you want to get started with Flipgrid or learn about the tool's new features in 2021  this Wakelet collection has got you covered. 😎 Check it out: http://msft.it/6185njQAL

#FlipgridForAll #Education #Learning",en,1.0,"Happy Wakelet Wednesday! 💙 Whether you want to get started with Flipgrid or learn about the tool's new features in 2021  this Wakelet collection has got you covered. 😎 Check it out: http://msft.it/6185njQAL

#FlipgridForAll #Education #Learning",4086160564772348
"Your students can explore sustainability and the Alaskan rainforests in our virtual field trip! 🌲 Head here: http://msft.it/6180njD8p

#Education #School #Learning",en,1.0,"Your students can explore sustainability and the Alaskan rainforests in our virtual field trip! 🌲 Head here: http://msft.it/6180njD8p

#Education #School #Learning",4083585245029880
"Microsoft Education and BBC My World partnered to create a lesson plan that encourages the learners of today to be confident and compassionate global citizens. 🌍

Find out more and get the lesson plan material here: http://msft.it/6189nj80F

#MicrosoftEDU #BBCMyWorld",en,1.0,"Microsoft Education and BBC My World partnered to create a lesson plan that encourages the learners of today to be confident and compassionate global citizens. 🌍

Find out more and get the lesson plan material here: http://msft.it/6189nj80F

#MicrosoftEDU #BBCMyWorld",4081168808604857
"It's Flipgrid Friday! 💚 Public speaking and recording video can be intimidating for teachers. Discover how MIE Expert and MIE Fellow Chris Gerrard became a Flipgrid expert and overcame his self-consciousness: https://blog.flipgrid.com/news/chrisgerrard

#FlipgridForAll #Education #Learning",en,1.0,"It's Flipgrid Friday! 💚 Public speaking and recording video can be intimidating for teachers. Discover how MIE Expert and MIE Fellow Chris Gerrard became a Flipgrid expert and overcame his self-consciousness: https://blog.flipgrid.com/news/chrisgerrard

#FlipgridForAll #Education #Learning",4073184912736580
"Social and emotional skills are being recognised as just as important as technical and cognitive skills. Discover how you can create classroom communities using SEL practices with our Learning Path: http://msft.it/6189nXYud

#Education #Schools #SEL",en,1.0,"Social and emotional skills are being recognised as just as important as technical and cognitive skills. Discover how you can create classroom communities using SEL practices with our Learning Path: http://msft.it/6189nXYud

#Education #Schools #SEL",4070371969684541
"Looking to brush up your OneNote skills ahead of the new school year? 🖌 Head here to indulge in some OneNote video training  or bookmark the link for the summer holidays: http://msft.it/6186nXc2s

#Education #School #Learning",en,1.0,"Looking to brush up your OneNote skills ahead of the new school year? 🖌 Head here to indulge in some OneNote video training  or bookmark the link for the summer holidays: http://msft.it/6186nXc2s

#Education #School #Learning",4067348729986865
"You hear us talking about them all the time  but can you guess what our favourite Microsoft Education tools are from the emoji clues below? 🤔

1. 🎤🍦 ☝🎵
2. 🎤🍦 💬
3. 🎤🍦 💪👉
4. 🎤🍦 👩👩‍🦱👨👨‍🦲

#MIEExpert #MicrosoftEDU #Education",en,1.0,"You hear us talking about them all the time  but can you guess what our favourite Microsoft Education tools are from the emoji clues below? 🤔

1. 🎤🍦 ☝🎵
2. 🎤🍦 💬
3. 🎤🍦 💪👉
4. 🎤🍦 👩👩‍🦱👨👨‍🦲

#MIEExpert #MicrosoftEDU #Education",4064535040268234
"There are just two days to go until the 15 July deadline to submit your MIE Expert self-nominations! Find out what Michelle Capes enjoys most about being a part of the community. Head here for more info: http://msft.it/6188nXcG8

#MIEExpert #MicrosoftEDU",en,1.0,"There are just two days to go until the 15 July deadline to submit your MIE Expert self-nominations! Find out what Michelle Capes enjoys most about being a part of the community. Head here for more info: http://msft.it/6188nXcG8

#MIEExpert #MicrosoftEDU",4063555710366167
"Want to get to grips with Flipgrid and amplify student voice even more? 🤔 Becoming Flipgrid Certified can help! 💚 Head here to learn the steps needed to earn your Level 1 certification and beyond: http://msft.it/6185nnqGd

#FlipgridForAll #Education #Teaching",en,1.0,"Want to get to grips with Flipgrid and amplify student voice even more? 🤔 Becoming Flipgrid Certified can help! 💚 Head here to learn the steps needed to earn your Level 1 certification and beyond: http://msft.it/6185nnqGd

#FlipgridForAll #Education #Teaching",4053587791362959
"Social emotional learning has taken on an added importance over the last year-and-a-half. Flipgrid is a fantastic way to facilitate SEL teaching  as well as providing an engaging learning platform for your students. Find out how!

#FlipgridForAll #Education #SEL",en,1.0,"Social emotional learning has taken on an added importance over the last year-and-a-half. Flipgrid is a fantastic way to facilitate SEL teaching  as well as providing an engaging learning platform for your students. Find out how!

#FlipgridForAll #Education #SEL",4050101661711572
"Do you or your students want to save a copy of your OneNote Class Notebook before the end of the school year? Check out how you can make that happen with this handy tutorial video: http://msft.it/6183nrHQx

#Education #School #RemoteLearning",en,1.0,"Do you or your students want to save a copy of your OneNote Class Notebook before the end of the school year? Check out how you can make that happen with this handy tutorial video: http://msft.it/6183nrHQx

#Education #School #RemoteLearning",4047968375258234
"It's Wakelet Wednesday! 💙 This week  we're focusing on all things Microsoft Forms. 😎 See how you can create awesome  auto-graded quizzes and use Forms to its full potential with this Wakelet collection: http://msft.it/6180nrHMk

#Education #School #Learning",en,1.0,"It's Wakelet Wednesday! 💙 This week  we're focusing on all things Microsoft Forms. 😎 See how you can create awesome  auto-graded quizzes and use Forms to its full potential with this Wakelet collection: http://msft.it/6180nrHMk

#Education #School #Learning",4047413911980347
"The skills and technology required to deliver personalised learning experiences are changing at a rapid pace. 🏃‍♀️🏃‍♂️💨 We want to help. Head here for the latest info for school leaders  PD courses for teachers and more: http://msft.it/6183nrHlH

#Education #School #Learning",en,1.0,"The skills and technology required to deliver personalised learning experiences are changing at a rapid pace. 🏃‍♀️🏃‍♂️💨 We want to help. Head here for the latest info for school leaders  PD courses for teachers and more: http://msft.it/6183nrHlH

#Education #School #Learning",4045155648872840
"There are only 10 days left to submit your self-nominations to join our wonderful  innovative community of MIE Experts. 🖐🖐 But don't just take our word for it. Hear what educator Paul Watkins has to say about the programme. Head here for more info: http://msft.it/6185nrHeF

#Education #Teaching #School",en,1.0,"There are only 10 days left to submit your self-nominations to join our wonderful  innovative community of MIE Experts. 🖐🖐 But don't just take our word for it. Hear what educator Paul Watkins has to say about the programme. Head here for more info: http://msft.it/6185nrHeF

#Education #Teaching #School",4042455285809543
"TGI Flipgrid Friday! 💚 Have you used Flipgrid boards yet? It's a great way to engage your learners and create fun  visual class content without a physical whiteboard! Discover 4 ways to use Flipgrid boards: http://msft.it/6181nrGQB

#FlipgridForAll #Education #Learning",en,1.0,"TGI Flipgrid Friday! 💚 Have you used Flipgrid boards yet? It's a great way to engage your learners and create fun  visual class content without a physical whiteboard! Discover 4 ways to use Flipgrid boards: http://msft.it/6181nrGQB

#FlipgridForAll #Education #Learning",4034336176621454
"One of the highlights of ConnectEd 2021 was the virtual field trip! 🌍 Students can explore the Alaskan rainforests and how technology can help improve sustainable forest management. 🌳🌲 Take a look: http://msft.it/6181nHLFZ

#Education #Schools #Learning",en,1.0,"One of the highlights of ConnectEd 2021 was the virtual field trip! 🌍 Students can explore the Alaskan rainforests and how technology can help improve sustainable forest management. 🌳🌲 Take a look: http://msft.it/6181nHLFZ

#Education #Schools #Learning",4031485523573186
