Original,Detected language,Detected language score,Translation,CommentID,PostID
Safegamecash less than 23 hours in the pre sale. Launch Nov 16. One of the biggest pre sales ever in crypto. Buy it cheap now.,en,1.0,Safegamecash less than 23 hours in the pre sale. Launch Nov 16. One of the biggest pre sales ever in crypto. Buy it cheap now.,10158749159538721,10158678471638721
Please I need a laptop from you guys.I never have any,en,1.0,Please I need a laptop from you guys. I never have any,10158748994958721,10158678471638721
"Phone call only- the first floor- gigantic Iron maze in Dark Chocolate / warehouse for California visitors ""Crown Princes""",en,1.0,"Phone call only- the first floor- gigantic Iron maze in Dark Chocolate / warehouse for California visitors ""Crown Princes""",10158746624448721,10158678471638721
https://www.google.com/search?q=mexico+border+highway&hl=en&sxsrf=AOaemvKuTqdbBHBC05kfdSvUdrkzmgBkJg%3A1635478591174&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi-k9vD2O7zAhXsJTQIHcvRAuQQ_AUoA3oECAEQBQ&biw=1726&bih=765&dpr=1%2F MSN company's address?/ 60 E Rio Salado Pkwy #1200  Tempe  AZ 85281-https://www.microsoft.com/en-us/,en,1.0,https://www.google.com/search?q=mexico+border+highway&hl=en&sxsrf=AOaemvKuTqdbBHBC05kfdSvUdrkzmgBkJg%3A1635478591174&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi-k9vD2O7zAhXsJTQIHcvRAuQQ_AUoA3oECAEQBQ&biw=1726&bih=765&dpr=1%2F MSN company's address?/ 60 E Rio Salado Pkwy #1200  Tempe  AZ 85281-https://www.microsoft.com/en-us/,10158746302323721,10158678471638721
Need help with activation of license key. There is no online chat. Waiting on a call,en,1.0,Need help with activation of license key. There is no online chat. Waiting on a call,10158745943263721,10158678471638721
Microsoft  whey did the icon of my PDF files change to the Chrome icon? I can't even attach the files to emails now.,en,1.0,Microsoft  whey did the icon of my PDF files change to the Chrome icon? I can't even attach the files to emails now.,10158745015013721,10158678471638721
Hi,en,1.0,Hi,10158744034948721,10158678471638721
https://medium.com/@husbandwifeandlife/microsoft-human-resources-you-have-failed-miserably-41e834323a99,en,1.0,https://medium.com/@husbandwifeandlife/microsoft-human-resources-you-have-failed-miserably-41e834323a99,10158743902768721,10158678471638721
I applied to be an affiliate marketer for the microsoft ads on cj affiliate and i was rejected  I had even created an ebook and a video to work with but I wasn't approved,en,1.0,I applied to be an affiliate marketer for the microsoft ads on cj affiliate and i was rejected  I had even created an ebook and a video to work with but I wasn't approved,10158743618748721,10158678471638721
PLEASE HELP! I HAVE BEEN LOCKED OUT OF MY ACCOUNT FOR A MONTH. But  YES  still taking out my monthly payments. GRRRR.,en,1.0,PLEASE HELP! I HAVE BEEN LOCKED OUT OF MY ACCOUNT FOR A MONTH. But  YES  still taking out my monthly payments. GRRRR.,10158739165463721,10158678471638721
Seriously hate your systems bro,en,1.0,Seriously hate your systems bro,10158736952628721,10158678471638721
Your customer service sucks. Why can I not speak to a human.,en,1.0,Your customer service sucks. Why can I not speak to a human.,10158737176093721,10158678471638721
The account holder  my husband  died. I need to transfer it to my name and my credit card to renew. I can't find any help whatsoever since I can't speak to a person and the online assistance does not help at all. I'm about ready to cancel the whole subscription.,en,1.0,The account holder  my husband  died. I need to transfer it to my name and my credit card to renew. I can't find any help whatsoever since I can't speak to a person and the online assistance does not help at all. I'm about ready to cancel the whole subscription.,10158737153868721,10158678471638721
What is wrong with you people? You run a Computer Software Company and you CAN'T ANSWER THOUSANDS OF SIMPLE QUESTION'S from the people who use your Products!,en,1.0,What is wrong with you people? You run a Computer Software Company and you CAN'T ANSWER THOUSANDS OF SIMPLE QUESTION'S from the people who use your Products!,10158735470718721,10158678471638721
2 months of tech support and no solution! ... ❌,en,1.0,2 months of tech support and no solution! ... ❌,10158735148168721,10158678471638721
https://www.techradar.com/amp/news/forget-windows-11-the-surface-go-3-could-be-a-killer-android-tablet. You should offer the surface go with an Android version that I would buy,en,1.0,https://www.techradar.com/amp/news/forget-windows-11-the-surface-go-3-could-be-a-killer-android-tablet. You should offer the surface go with an Android version that I would buy,10158734935338721,10158678471638721
Worst company in the world they won't ever help you with anything. They just run you in circles over the phone while they count how many hours it's been since you called. Money hungry and don't care about your customers. I'm going straight to the other guys you can bet that. Microsoft =🤡🤡🤡🤡🤡🤡,en,1.0,Worst company in the world they won't ever help you with anything. They just run you in circles over the phone while they count how many hours it's been since you called. Money hungry and don't care about your customers. I'm going straight to the other guys you can bet that. Microsoft =🤡🤡🤡🤡🤡🤡,10158734086258721,10158678471638721
Super aggravated that I can't get through to support. I have a broken and now missing Surface pro 7 purchased from Microsoft WITH Microsoft Complete. I can't turn in a laptop for repair - as it states in the instructions - that I do not have. Please advise how to speak with tech support. Thank you. Please contact via Messenger.,en,1.0,Super aggravated that I can't get through to support. I have a broken and now missing Surface pro 7 purchased from Microsoft WITH Microsoft Complete. I can't turn in a laptop for repair - as it states in the instructions - that I do not have. Please advise how to speak with tech support. Thank you. Please contact via Messenger.,10158730936403721,10158678471638721
test,en,1.0,test,10158730936373721,10158678471638721
"Bill Gates' terminology  he using ""bootstrapping""is actually theft that is nothing more  but stripping you of your own keystrokes  slave cache  my experience with more than fourteen years of my original attainable online participation.",en,1.0,"Bill Gates' terminology  he using ""bootstrapping""is actually theft that is nothing more  but stripping you of your own keystrokes  slave cache  my experience with more than fourteen years of my original attainable online participation.",10158729020993721,10158678471638721
This page looks real active. Hey Microsoft let me know when you have a new operating system that is compatible with an AMD processor and no I'm not switching over to your over priced toaster oven processors.,en,1.0,This page looks real active. Hey Microsoft let me know when you have a new operating system that is compatible with an AMD processor and no I'm not switching over to your over priced toaster oven processors.,10158728775858721,10158678471638721
So since I can’t get in touch with anyone on Microsoft support I’ll post this here. I’ve tried since Friday to give Microsoft Xbox a chance with no response.My son’s account was hacked and within a few hours every penny plus some overdraft was taken out of my account  over $2100. The money was stolen in almost 100 small purchases. I’ve filed a police report. My bank has opened an investigation. I tried to request refunds on some of the charges and they were all denied. How do I get in touch with someone?!? Who is there to help when this happens to people?? Is this really how this company does business??,en,1.0,So since I can’t get in touch with anyone on Microsoft support I’ll post this here. I’ve tried since Friday to give Microsoft Xbox a chance with no response. My son’s account was hacked and within a few hours every penny plus some overdraft was taken out of my account  over $2100. The money was stolen in almost 100 small purchases. I’ve filed a police report. My bank has opened an investigation. I tried to request refunds on some of the charges and they were all denied. How do I get in touch with someone?!? Who is there to help when this happens to people?? Is this really how this company does business??,10158727741463721,10158678471638721
Microsoft as always is lagging behind the competition like Facebook or Google. Those two and other competitors have a big market lead not only in quality of their service but also in user (personal) data which have become a valuable commodity. In order to make up for a lag the Microsoft is employing a simple tactic: EXTORSION. They lock you out of your account and you have to pay to get back access to your services  information  contacts  in some cases your whole online existence. And the price is your personal information. In the least they try to trick you into our personal telephone number. Giving phone number to dubios companies like MS in very stupid indeed. But who knows where this stops? ID documents  pictures? in the end it can even be money. Pay us if ypu want to contact you family or something like that.The solution sis more than simple. Just stop using MS services  accounts  everything.I too am locked from my account for abbot two years now. The COVID pandemic  ensuing lockdown and resulting increased dependence on internet communication for social life and job is a perfect opportunity for MS to profit from that  And they are doing it without any shame at all.,en,0.99,Microsoft as always is lagging behind the competition like Facebook or Google. Those two and other competitors have a big market lead not only in quality of their service but also in user (personal) data which have become a valuable commodity. In order to make up for a lag the Microsoft is employing a simple tactic: EXTORSION. They lock you out of your account and you have to pay to get back access to your services  information  contacts  in some cases your whole online existence. And the price is your personal information. In the least they try to trick you into our personal telephone number. Giving phone number to dubios companies like MS in very stupid indeed. But who knows where this stops? ID documents  pictures? in the end it can even be money. Pay us if ypu want to contact you family or something like that. The solution sis more than simple. Just stop using MS services  accounts  everything. I too am locked from my account for abbot two years now. The COVID pandemic  ensuing lockdown and resulting increased dependence on internet communication for social life and job is a perfect opportunity for MS to profit from that  And they are doing it without any shame at all.,10158727738858721,10158678471638721
I mean no disrespect to comment on page. I need help Microsoft not letting you speak to humans  my credit card is getting billed again don't see it in my account but from my bank. Their help options via web is taking me in circles. Do anyone knows how I can get help from a human?,en,1.0,I mean no disrespect to comment on page. I need help Microsoft not letting you speak to humans  my credit card is getting billed again don't see it in my account but from my bank. Their help options via web is taking me in circles. Do anyone knows how I can get help from a human?,10158726624853721,10158678471638721
It doesn't ALL START NOW   because most people can't download Windows 11 .,en,1.0,It doesn't ALL START NOW   because most people can't download Windows 11 .,10158725937903721,10158678471638721
https://t.me/kioinfrmcomHtml❤❤❤,en,0.0,https://t.me/kioinfrmcomHtml❤❤❤,10158724927193721,10158678471638721
I have been trying to reach Assure Microsoft support for the past hour. None of their previous phone numbers work anymore. I am frustrated.,en,1.0,I have been trying to reach Assure Microsoft support for the past hour. None of their previous phone numbers work anymore. I am frustrated.,10158722985558721,10158678471638721
Yeah  stop charging me for stuff when I don't even have my card linked anymore. Not subscribed to anything on the Xbox. Took the last bit I had this morning and would like to have it back. Thanks.,en,1.0,Yeah  stop charging me for stuff when I don't even have my card linked anymore. Not subscribed to anything on the Xbox. Took the last bit I had this morning and would like to have it back. Thanks.,10158722141758721,10158678471638721
Hey  my Microsoft account has been stolen.They change email so i cant restore password or anything. I cant get it. I contact with some helper but they couldn't help me. I have a confirmation email that I was subscribing to this account well before it was lost.It is a miracle to contact you for help .. no phone contact  terrible ..,en,1.0,Hey  my Microsoft account has been stolen. They change email so i cant restore password or anything. I cant get it. I contact with some helper but they couldn't help me. I have a confirmation email that I was subscribing to this account well before it was lost. It is a miracle to contact you for help .. no phone contact  terrible ..,10158722112243721,10158678471638721
Bitlocker completely locked up my computer and I now have to pay over $200.00 to get it unlocked. Your BitLocker system would not accept the correct recovery key. This is an outright robbery! Who should my attorney contact to initiate a lawsuit against you all?,en,1.0,Bitlocker completely locked up my computer and I now have to pay over $200.00 to get it unlocked. Your BitLocker system would not accept the correct recovery key. This is an outright robbery! Who should my attorney contact to initiate a lawsuit against you all?,10158721867178721,10158678471638721
I don’t know where to post this because there is no phone customer support and I get find a way to email anyone on the website…. We deleted the one drive folder on the computer because we don’t use one drive. Everything on the desktop got deleted apparently and we can’t figure out how to recover it… we went to one drives website and there’s nothing in recycle bin and there isn’t even a restore point… how can we fix this? And why is the desktop stored in one drive and there no indication of this anywhere…. And how do we contact phone support?,en,1.0,I don’t know where to post this because there is no phone customer support and I get find a way to email anyone on the website…. We deleted the one drive folder on the computer because we don’t use one drive. Everything on the desktop got deleted apparently and we can’t figure out how to recover it… we went to one drives website and there’s nothing in recycle bin and there isn’t even a restore point… how can we fix this? And why is the desktop stored in one drive and there no indication of this anywhere…. And how do we contact phone support?,10158721548703721,10158678471638721
My old email address has been deactivated for a while now so when I went to add a new primary email and phone number I got locked out. Now trying to recover my outlook and live account I found no support through telephone and seeing as I no longer have access to my old email I can't get any support ONLINE. HELP I NEED TO ACCESS MY LIVE ACCOUNT!!!,en,1.0,My old email address has been deactivated for a while now so when I went to add a new primary email and phone number I got locked out. Now trying to recover my outlook and live account I found no support through telephone and seeing as I no longer have access to my old email I can't get any support ONLINE. HELP I NEED TO ACCESS MY LIVE ACCOUNT!!!,10158721145968721,10158678471638721
You need to stop letting bots operate on your site. Simple ticket  online wait line  3 min check out basket timer  and “not a robot” puzzle as well as IP and proxy bans will combat this problem….Horrible customer service!,en,1.0,You need to stop letting bots operate on your site. Simple ticket  online wait line  3 min check out basket timer  and “not a robot” puzzle as well as IP and proxy bans will combat this problem….Horrible customer service!,10158721039328721,10158678471638721
I had Microsoft Store apps. How can I get big money through it? :),en,1.0,I had Microsoft Store apps. How can I get big money through it? :),10158720800213721,10158678471638721
please come agen !,en,1.0,please come agen !,10158719055983721,10158678471638721
?,en,0.0,?,10158719048943721,10158678471638721
need some help,en,1.0,need some help,10158719048913721,10158678471638721
how is it posible to sync with a nother desktop,en,1.0,how is it posible to sync with a nother desktop,10158719037608721,10158678471638721
identety theft pleas help!!!,en,1.0,identety theft pleas help!!!,10158719034688721,10158678471638721
Gratulation to Windows 11 :),de,1.0,Congratulations to Windows 11 :),10158718278128721,10158678471638721
How about instead of virtue signaling  you fix your business... We don't care what you support and what you don't  we are interested in purchasing products for personal use.,en,1.0,How about instead of virtue signaling  you fix your business... We don't care what you support and what you don't  we are interested in purchasing products for personal use.,10158718274193721,10158678471638721
I need help! My drived died  had repair shop fix it  I got it back and days later I get this message saying I need to activate windows and I need to enter some key but all my keys are on my keyring. the shop never gave me a key. I payed $253 and I cant afford to spend more when its already fixed. What do I do?!,en,1.0,I need help! My drived died  had repair shop fix it  I got it back and days later I get this message saying I need to activate windows and I need to enter some key but all my keys are on my keyring. the shop never gave me a key. I payed $253 and I cant afford to spend more when its already fixed. What do I do?!,10158716870368721,10158678471638721
Microsoft. I love you,en,1.0,Microsoft. I love you,10158716297168721,10158678471638721
🎃,en,0.0,🎃,10158716007413721,10158678471638721
Remember when yesterday your customer support supervisor  Vivian  told me she didn’t care about my issue. And then I’ve been ignored since.,en,1.0,Remember when yesterday your customer support supervisor  Vivian  told me she didn’t care about my issue. And then I’ve been ignored since.,10158715745503721,10158678471638721
🗑🗑🗑🛡🛡🛡📮📮📮📮📮📮📮🚬📋📋📋🎒🎒🧮🧮📔📔📦📦📦📦📦🎀🎀🎀🍨🍨📋📋🗑🗑🖋🖋🛡🛡🛡🧽🧽🧽🧼🧽🧽📦📦📦📦📦📦🗒🗒🗒🗒🧮🧮🎒📒📒📒📦📦📦👧🏼👧🏼👴🏿👴🏿👴🏿👴🏿👩‍🦳,en,0.0,🗑🗑🗑🛡🛡🛡📮📮📮📮📮📮📮🚬📋📋📋🎒🎒🧮🧮📔📔📦📦📦📦📦🎀🎀🎀🍨🍨📋📋🗑🗑🖋🖋🛡🛡🛡🧽🧽🧽🧼🧽🧽📦📦📦📦📦📦🗒🗒🗒🗒🧮🧮🎒📒📒📒📦📦📦👧🏼👧🏼👴🏿👴🏿👴🏿👴🏿👩‍🦳,10158715404503721,10158678471638721
Microsoft que pasa  todo los días me están rechazando los puntos de Microsoft rewards.He contactado por correo electrónico  pero lo único que saben es mandar copia y pega.Voy a seguir cumulando los puntos todos los días.Actualización de hoy: https://image.prntscr.com/image/SuK423yWQi6CN6pqaJTlQQ.pngVeo que aun sigue rechazando los puntos y siendo residente de España.,es,0.98,Microsoft who spends all the days is rejecting my Microsoft rewards points. I have contacted by email but the only thing they know is to send copy and paste. I'm going to keep scoring the points every day. Today's update: https://image.prntscr.com/image/SuK423yWQi6CN6pqaJTlQQ.pngVeo who still rejects the points and is a resident of Spain.,10158715147328721,10158678471638721
I am disabled I am in desperate need of help now,en,1.0,I am disabled I am in desperate need of help now,10158714397273721,10158678471638721
Microsoft can you explain to me why Vivian from your customer support team  who also told me they were a supervisor  tell me that they do not care about my issue and that there is nothing they will do to help me?,en,1.0,Microsoft can you explain to me why Vivian from your customer support team  who also told me they were a supervisor  tell me that they do not care about my issue and that there is nothing they will do to help me?,10158714097593721,10158678471638721
Microsoft why did Vivian from your customer support team just tell me that they do not care about my issue as a customer,en,1.0,Microsoft why did Vivian from your customer support team just tell me that they do not care about my issue as a customer,10158714096663721,10158678471638721
Microsoft can you explain to me why your customer support team just told me they do not care about my issue as a customer. And when I asked to speak to a supervisor because of this  was told that there is nobody else who is higher than them who they can direct me to. Disgrace… and if that was a supervisor  an absolute disgrace that is how they speak to customers as someone in leadership in this company.,en,1.0,Microsoft can you explain to me why your customer support team just told me they do not care about my issue as a customer. And when I asked to speak to a supervisor because of this  was told that there is nobody else who is higher than them who they can direct me to. Disgrace… and if that was a supervisor  an absolute disgrace that is how they speak to customers as someone in leadership in this company.,10158714091293721,10158678471638721
Microsoft just spoke to Vivian V. from your customer support team  who was extremely unhelpful and told me that the company DOES NOT CARE about my issue and they will do absolutely nothing to help me. Disgrace of a company and a disgrace that someone from customer support would speak to a customer like that.,en,1.0,Microsoft just spoke to Vivian V. from your customer support team  who was extremely unhelpful and told me that the company DOES NOT CARE about my issue and they will do absolutely nothing to help me. Disgrace of a company and a disgrace that someone from customer support would speak to a customer like that.,10158714078698721,10158678471638721
Microsoft just spoke to Vivian V. from your customer support team  who was extremely unhelpful and told me that the company DOES NOT CARE about my issue and they will do absolutely nothing to help me. Disgrace of a company and a disgrace that someone from customer support would speak to a customer like that.,en,1.0,Microsoft just spoke to Vivian V. from your customer support team  who was extremely unhelpful and told me that the company DOES NOT CARE about my issue and they will do absolutely nothing to help me. Disgrace of a company and a disgrace that someone from customer support would speak to a customer like that.,10158714078613721,10158678471638721
Microsoft Microsoft 365 Microsoft Bing Microsoft Edge Microsoft Research how do you get in touch with customer service? NOBODY responds to any messages!,en,1.0,Microsoft Microsoft 365 Microsoft Bing Microsoft Edge Microsoft Research how do you get in touch with customer service? NOBODY responds to any messages!,10158713871073721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861703721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861648721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861573721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861363721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861288721,10158678471638721
Why doesn’t customer service respond to customers messages?,en,1.0,Why doesn’t customer service respond to customers messages?,10158713861268721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713861023721,10158678471638721
Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,en,1.0,Why is it so impossible to get in contact with customer service? For such a big company  it’s astonishing how little you care about your customers Microsoft,10158713820963721,10158678471638721
What does it mean this message: The processor isn't currently supported for windows 11. processor: Intel Core-i7-7700HQ CPU @ 2.80GHZ ?????????,en,1.0,What does it mean this message: The processor isn't currently supported for windows 11. processor: Intel Core-i7-7700HQ CPU @ 2.80GHZ ?????????,10158713633698721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587798721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587733721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587653721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587553721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587368721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712587318721,10158678471638721
Why doesn’t anyone in customer service respond to messages?,en,1.0,Why doesn’t anyone in customer service respond to messages?,10158712586998721,10158678471638721
WARNING!!! Do NOT purchase a SURFACE device!! Never in your life!!! It is just a waste of money that you will never get back.,en,1.0,WARNING!!! Do NOT purchase a SURFACE device!! Never in your life!!! It is just a waste of money that you will never get back.,10158712422528721,10158678471638721
I have bought a key for Win7 Proffecional today through PayPal and it turns out error while showing how it looks a little bit. what's going on?,en,1.0,I have bought a key for Win7 Proffecional today through PayPal and it turns out error while showing how it looks a little bit. what's going on?,10158712391943721,10158678471638721
This company clearly doesn’t care or value their customers at all 👎🏼👎🏼 been trying for days to get ahold of someone to assist me. The online support form doesn’t work for me. Would never use any Microsoft product again  waste of my time and money.,en,1.0,This company clearly doesn’t care or value their customers at all 👎🏼👎🏼 been trying for days to get ahold of someone to assist me. The online support form doesn’t work for me. Would never use any Microsoft product again  waste of my time and money.,10158711377138721,10158678471638721
Why is it impossible to get in contact with support? The online form I keep getting directed to isn’t working for me and I cannot get in contact with anyone.,en,1.0,Why is it impossible to get in contact with support? The online form I keep getting directed to isn’t working for me and I cannot get in contact with anyone.,10158711363033721,10158678471638721
How can I get in touch with customer service? I’ve tried online forms  calling the store  calling the support number and I’m not receiving anything.,en,1.0,How can I get in touch with customer service? I’ve tried online forms  calling the store  calling the support number and I’m not receiving anything.,10158711357073721,10158678471638721
Just updated to Windows 10 finally and my computer is unusable. How is this company still in business?,en,1.0,Just updated to Windows 10 finally and my computer is unusable. How is this company still in business?,10158710898563721,10158678471638721
Salut je un phone de microsoft. je pense que suis le seul au monde a utiliser un phone de microsoft windows version 10 si ça vous interesse reponde moi,fr,1.0,Hi I a phone from microsoft. I think I'm the only one in the world to use a phone from microsoft windows version 10 if you're interested in answering me,10158710636053721,10158678471638721
Learn Linux . Dump Microsoft . Linux is free and no antivirus is necessary . Why ? Cause Linux isn't junk like windows,en,1.0,Learn Linux . Dump Microsoft . Linux is free and no antivirus is necessary . Why ? Cause Linux isn't junk like windows,10158710573468721,10158678471638721
How can I get in touch with customer service? I’m having an issue with my email  I’ve tried the online form and calling  but I’m not able to speak to anybody and the online form isn’t working.,en,1.0,How can I get in touch with customer service? I’m having an issue with my email  I’ve tried the online form and calling  but I’m not able to speak to anybody and the online form isn’t working.,10158709946233721,10158678471638721
https://www.facebook.com/111811641267162/posts/111867317928261/,en,1.0,https://www.facebook.com/111811641267162/posts/111867317928261/,10158709707918721,10158678471638721
Click the link and join the company!!!https://bit.ly/3a5IsNgFor more details you can call to this number 223-217-7805,en,1.0,Click the link and join the company!!! https://bit.ly/3a5IsNgFor more details you can call to this number 223-217-7805,10158709045328721,10158678471638721
METEROS LOS REQUISITOS POR EL CULO,es,1.0,PUT THE REQUIREMENTS BY THE ASS,10158708889618721,10158678471638721
I’m very disappointed that Microsoft did not follow through on its promise to have a level two technician call me today at 1 PM. Your representative last night messed up my computer so much that I no longer have Internet access. How do I reach a live person? Very very disappointed,en,1.0,I’m very disappointed that Microsoft did not follow through on its promise to have a level two technician call me today at 1 PM. Your representative last night messed up my computer so much that I no longer have Internet access. How do I reach a live person? Very very disappointed,10158708113953721,10158678471638721
Help  since yesterday everything keeps flashing can't access settings or any way to restore,en,1.0,Help  since yesterday everything keeps flashing can't access settings or any way to restore,10158708222748721,10158678471638721
Microsoft why did you cancel the 12 month payment for xbox live gold? 🥺,en,1.0,Microsoft why did you cancel the 12 month payment for xbox live gold? 🥺,10158708079938721,10158678471638721
i guess its time to update all the systems to windows 11 thanks losers for rolling it out gave you the care moji got the iso now sweet requirements for upgrade were much higher this time around then the previous versions gotta start somewhere though right a processor with atleast tpm 2.0,en,1.0,i guess its time to update all the systems to windows 11 thanks losers for rolling it out gave you the care moji got the iso now sweet requirements for upgrade were much higher this time around then the previous versions gotta start somewhere though right a processor with atleast tpm 2.0,10158707650948721,10158678471638721
Microsoft is the reason my next computer will be made by Apple. Calling Windows garbage would be an insult to junk.,en,1.0,Microsoft is the reason my next computer will be made by Apple. Calling Windows garbage would be an insult to junk.,10158705523543721,10158678471638721
I need help getting my account unlocked because of a stupid hacker. I need to speak to a real person. Your automated system is terrible and it doesn't answer my questions. You provide a web page with supposed customer service live chat or call back options  but there's no way to do either. You can only chat with a bot. My whole account is at stake. Please contact me with a live person.,en,1.0,I need help getting my account unlocked because of a stupid hacker. I need to speak to a real person. Your automated system is terrible and it doesn't answer my questions. You provide a web page with supposed customer service live chat or call back options  but there's no way to do either. You can only chat with a bot. My whole account is at stake. Please contact me with a live person.,10158705487953721,10158678471638721
News flash Microsoft does not want to help you. They don't care as long as you pay them.,en,1.0,News flash Microsoft does not want to help you. They don't care as long as you pay them.,10158704324208721,10158678471638721
.,en,0.0,.,10158703188438721,10158678471638721
A CHANGED WORLD IN 24 HOURS TO HEALTH TO WEALTH TO PAIN FREE AND HAPPY TIMES,en,1.0,A CHANGED WORLD IN 24 HOURS TO HEALTH TO WEALTH TO PAIN FREE AND HAPPY TIMES,10158701551088721,10158678471638721
Hey Microsoft  I just returned a Xbox One X after 12 days. Your exclusive games suck. That was the number one reason I returned it and got my money back. Now I'm using it on PS4  PS5  and Switch games and accessories. I will never buy any product by Microsoft or has any Microsoft properties within it such as Windows. Xbox 360 20GB RROD. Xbox 360 Elite 120GB RROD  Xbox One sold in 6 months  Xbox One sold in 9 months  Xbox One X wouldn't stay on my wifi  Xbox One X failed to work with HDMI video  Xbox One X I returned it because I realized how many Xboxes failed on me before and that you have no exclusives that I like at all. Microsoft  you FAIL!,en,1.0,Hey Microsoft  I just returned a Xbox One X after 12 days. Your exclusive games suck. That was the number one reason I returned it and got my money back. Now I'm using it on PS4  PS5  and Switch games and accessories. I will never buy any product by Microsoft or has any Microsoft properties within it such as Windows. Xbox 360 20GB RROD. Xbox 360 Elite 120GB RROD  Xbox One sold in 6 months  Xbox One sold in 9 months  Xbox One X wouldn't stay on my wifi  Xbox One X failed to work with HDMI video  Xbox One X I returned it because I realized how many Xboxes failed on me before and that you have no exclusives that I like at all. Microsoft  you FAIL!,10158700248243721,10158678471638721
Before you load windows 11  read the privacy page. Compare it to windows 10.. You will find that you are giving up a huge huge huge huge huge amount of your privacy!!,en,1.0,Before you load windows 11  read the privacy page. Compare it to windows 10.. You will find that you are giving up a huge huge huge huge huge amount of your privacy!!,10158699749568721,10158678471638721
Microsoft you responded publicly ( just for show ??) to acknowledg my complaint about being locked out of my email with NO way to get it verified so I can log back in. Your moderator said to PM with the request but as soon as i tried to do that  you disabled the PM ( overwhelmed?) . ????,en,1.0,Microsoft you responded publicly ( just for show ??) to acknowledg my complaint about being locked out of my email with NO way to get it verified so I can log back in. Your moderator said to PM with the request but as soon as i tried to do that  you disabled the PM ( overwhelmed?) . ????,10158699151338721,10158678471638721
So who wants to replace my $1200 laptop since after I disabled every service related to updating  yet it still was forced to update and said update completely bricking it as result?,en,1.0,So who wants to replace my $1200 laptop since after I disabled every service related to updating  yet it still was forced to update and said update completely bricking it as result?,10158698738248721,10158678471638721
https://www.zeczec.com/projects/logitech-combotouch?r=be471812ce&fbclid=IwAR3hJMxJqBGk7o1JCLdKltnItYBjwk3z7vPgz_eg5rdDOKasVUvnGNVIAY8,en,1.0,https://www.zeczec.com/projects/logitech-combotouch?r=be471812ce&fbclid=IwAR3hJMxJqBGk7o1JCLdKltnItYBjwk3z7vPgz_eg5rdDOKasVUvnGNVIAY8,10158697630233721,10158678471638721
How is it that Microsoft’s tech support can’t restore my Hotmail account. Haven’t you even heard of disaster recovery? 🤬,en,1.0,How is it that Microsoft’s tech support can’t restore my Hotmail account. Haven’t you even heard of disaster recovery? 🤬,10158698042728721,10158678471638721
Hackers deserve jail time fines and lawsuits,en,1.0,Hackers deserve jail time fines and lawsuits,10158697198868721,10158678471638721
I'll tell you in Spanish  isn't it impudent for you to raise prices? in Russia  life is already bad  the average salary is $ 400 a month  but you also raise the prices for the console  the only joy of our existence,en,1.0,I'll tell you in Spanish  isn't it impudent for you to raise prices? in Russia  life is already bad  the average salary is $ 400 a month  but you also raise the prices for the console  the only joy of our existence,10158695585993721,10158678471638721
Cyber attacks are an issue xbox is easy victims my time is being wasted,en,1.0,Cyber attacks are an issue xbox is easy victims my time is being wasted,10158695540893721,10158678471638721
